                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        6596      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                               1                                2                                3                                4                                5                                6 
                    log_star_age                           radius                        star_mass                       luminosity                   center_entropy                  Bolometric_Flux 
         7.5206124494287501E+000          7.0163935421245646E-002          5.1513086668007243E-005          1.6407201507966007E-009          7.2348532448276943E+000          2.7347224156725234E+006 
         7.5269375489825157E+000          7.0050547007717026E-002          5.1513086668007243E-005          1.6160941176052128E-009          7.2299159225397185E+000          2.7258906625156365E+006 
         7.5333377295570827E+000          6.9936171777758627E-002          5.1513086668007243E-005          1.5909676953479396E-009          7.2249350470041271E+000          2.7169965179463918E+006 
         7.5398016599844304E+000          6.9821094840814182E-002          5.1513086668007243E-005          1.5660399642014649E-009          7.2199109883179826E+000          2.7080624744662633E+006 
         7.5463208289381001E+000          6.9705459478572693E-002          5.1513086668007243E-005          1.5413475233167430E-009          7.2148418459845232E+000          2.6990998973690071E+006 
         7.5528881489966908E+000          6.9589425227374491E-002          5.1513086668007243E-005          1.5178021851286307E-009          7.2097341143273574E+000          2.6901213362713368E+006 
         7.5594999971194383E+000          6.9472952723091660E-002          5.1513086668007243E-005          1.4940341370275772E-009          7.2045759251290065E+000          2.6811239071323103E+006 
         7.5661490577415131E+000          6.9356233373852452E-002          5.1513086668007243E-005          1.4705697649863032E-009          7.1993980823129959E+000          2.6721225290178801E+006 
         7.5728384992929012E+000          6.9239192646625147E-002          5.1513086668007243E-005          1.4474124130197823E-009          7.1942066711862100E+000          2.6631115645026825E+006 
         7.5796585087607982E+000          6.9120321258046305E-002          5.1513086668007243E-005          1.4241236834778307E-009          7.1888772917645962E+000          2.6539752354317452E+006 
         7.5865601213323099E+000          6.9000393255778766E-002          5.1513086668007243E-005          1.4021902980640917E-009          7.1835069193779795E+000          2.6447736050159321E+006 
         7.5939011399045730E+000          6.8873237435109244E-002          5.1513086668007243E-005          1.3786279410112642E-009          7.1777665930303103E+000          2.6350348637581002E+006 
         7.6018764345366732E+000          6.8735611634905755E-002          5.1513086668007243E-005          1.3535742154746453E-009          7.1715468187551643E+000          2.6245144798150109E+006 
         7.6106759623060025E+000          6.8584354983762155E-002          5.1513086668007243E-005          1.3265715571895182E-009          7.1646503572476750E+000          2.6129763999681957E+006 
         7.6205184543981641E+000          6.8415929004943504E-002          5.1513086668007243E-005          1.2980010439211456E-009          7.1569371338572765E+000          2.6001585283490052E+006 
         7.6316536545713261E+000          6.8226182198451002E-002          5.1513086668007243E-005          1.2662823236297261E-009          7.1481864035604499E+000          2.5857558119585160E+006 
         7.6443614118694807E+000          6.8010710112453410E-002          5.1513086668007243E-005          1.2311089587921447E-009          7.1381870773190874E+000          2.5694489229723811E+006 
         7.6589726212479494E+000          6.7764364974797653E-002          5.1513086668007243E-005          1.1921264557776934E-009          7.1266436754134803E+000          2.5508687643911811E+006 
         7.6758720202142436E+000          6.7481244298297965E-002          5.1513086668007243E-005          1.1492034787690766E-009          7.1132187777852725E+000          2.5295981452149805E+006 
         7.6954988999918017E+000          6.7154655591823390E-002          5.1513086668007243E-005          1.1020579241400657E-009          7.0975541180441715E+000          2.5051724231972983E+006 
         7.7183181640674414E+000          6.6777903253171830E-002          5.1513086668007243E-005          1.0497376663843635E-009          7.0791946427011281E+000          2.4771421395041747E+006 
         7.7448351504711717E+000          6.6344218223044732E-002          5.1513086668007243E-005          9.9274994430732906E-010          7.0576979610481514E+000          2.4450713219139250E+006 
         7.7754021411742951E+000          6.5849379466292463E-002          5.1513086668007243E-005          9.3198590221592829E-010          7.0325716239869065E+000          2.4087334491927773E+006 
         7.8087297883919193E+000          6.5315126471288176E-002          5.1513086668007243E-005          8.7074354958391919E-010          7.0047013598970569E+000          2.3698066528187138E+006 
         7.8425695456925890E+000          6.4777497255304017E-002          5.1513086668007243E-005          8.1265032742380120E-010          6.9758196181205676E+000          2.3309539797190693E+006 
         7.8761576968064855E+000          6.4249140949566838E-002          5.1513086668007243E-005          7.5782907889924718E-010          6.9465630680406951E+000          2.2930842987107136E+006 
         7.9093237692606078E+000          6.3733561207106298E-002          5.1513086668007243E-005          7.0637337130683342E-010          6.9170595351981961E+000          2.2564293605861417E+006 
         7.9420715729419964E+000          6.3231288257695126E-002          5.1513086668007243E-005          6.5739911711689044E-010          6.8873213600081638E+000          2.2210044582612826E+006 
         7.9744238035538544E+000          6.2743204666407551E-002          5.1513086668007243E-005          6.0983193669394336E-010          6.8574572885044933E+000          2.1868488364238758E+006 
         8.0064049904807764E+000          6.2271322894249553E-002          5.1513086668007243E-005          5.6184734260246181E-010          6.8276642380811845E+000          2.1540786391473231E+006 
         8.0380514247459462E+000          6.1818372116448958E-002          5.1513086668007243E-005          5.1397576725519717E-010          6.7981209541631333E+000          2.1228558211843949E+006 
         8.0695385572724465E+000          6.1383535698152573E-002          5.1513086668007243E-005          4.6835909533416476E-010          6.7688376419691307E+000          2.0930961099385170E+006 
         8.1011097345725904E+000          6.0963719625571719E-002          5.1513086668007243E-005          4.2610173713772161E-010          6.7396723065225776E+000          2.0645636863673783E+006 
         8.1329384188659155E+000          6.0556609162599667E-002          5.1513086668007243E-005          3.8701270364581558E-010          6.7105980790688218E+000          2.0370817980645460E+006 
         8.1650336100245902E+000          6.0161628905050411E-002          5.1513086668007243E-005          3.5163813243563402E-010          6.6815944747470386E+000          2.0105947446791199E+006 
         8.1973992376759206E+000          5.9777600548538930E-002          5.1513086668007243E-005          3.1958801259620216E-010          6.6525929527585879E+000          1.9850083014864668E+006 
         8.2303184380739403E+000          5.9400696608811490E-002          5.1513086668007243E-005          2.9015369054578935E-010          6.6247148888136698E+000          1.9600558498182998E+006 
         8.2637657842145380E+000          5.9030452418285154E-002          5.1513086668007243E-005          2.6364928079257857E-010          6.6138948636544113E+000          1.9356979653789508E+006 
         8.2975395717790779E+000          5.8668040290147147E-002          5.1513086668007243E-005          2.3989559522172839E-010          6.6030959050733564E+000          1.9120028409201044E+006 
