**Planet model v40 by Leslie Rogers**

100		#Radius precision (m)
10		#Step size (m)
0.3		#FeMFrac
0.7		#silicateMFrac
0		#H2OMFrac

logPext(Pa): 	1	2	3	4	5	6	7	8	9	10	11
Mcore(Mearth)	Rcore(Rearth)

16	2.059128e+00	2.059128e+00	2.059128e+00	2.059128e+00	2.059128e+00	2.059128e+00	2.059128e+00	2.059067e+00	2.058533e+00	2.053253e+00	2.011261e+00
17	2.088699e+00	2.088699e+00	2.088699e+00	2.088699e+00	2.088699e+00	2.088699e+00	2.088699e+00	2.088638e+00	2.088104e+00	2.082916e+00	2.041428e+00
18	2.116684e+00	2.116684e+00	2.116684e+00	2.116684e+00	2.116684e+00	2.116684e+00	2.116684e+00	2.116623e+00	2.116104e+00	2.110992e+00	2.069946e+00
19	2.143188e+00	2.143188e+00	2.143188e+00	2.143188e+00	2.143188e+00	2.143188e+00	2.143188e+00	2.143127e+00	2.142609e+00	2.137573e+00	2.096970e+00
20	2.168350e+00	2.168350e+00	2.168350e+00	2.168350e+00	2.168350e+00	2.168350e+00	2.168350e+00	2.168289e+00	2.167786e+00	2.162811e+00	2.122650e+00
25	2.277634e+00	2.277634e+00	2.277634e+00	2.277634e+00	2.277634e+00	2.277634e+00	2.277618e+00	2.277573e+00	2.277100e+00	2.272430e+00	2.234314e+00
30	2.366119e+00	2.366119e+00	2.366119e+00	2.366119e+00	2.366119e+00	2.366119e+00	2.366119e+00	2.366074e+00	2.365616e+00	2.361221e+00	2.324982e+00
35	2.439911e+00	2.439911e+00	2.439911e+00	2.439911e+00	2.439911e+00	2.439911e+00	2.439911e+00	2.439865e+00	2.439438e+00	2.435272e+00	2.400742e+00
40	2.502792e+00	2.502792e+00	2.502792e+00	2.502792e+00	2.502792e+00	2.502792e+00	2.502777e+00	2.502747e+00	2.502335e+00	2.498383e+00	2.465439e+00
45	2.557343e+00	2.557343e+00	2.557343e+00	2.557343e+00	2.557343e+00	2.557343e+00	2.557343e+00	2.557297e+00	2.556915e+00	2.553146e+00	2.521667e+00
50	2.605301e+00	2.605301e+00	2.605301e+00	2.605301e+00	2.605301e+00	2.605301e+00	2.605301e+00	2.605255e+00	2.604889e+00	2.601303e+00	2.571136e+00
55	2.647903e+00	2.647903e+00	2.647903e+00	2.647903e+00	2.647903e+00	2.647903e+00	2.647903e+00	2.647858e+00	2.647507e+00	2.644089e+00	2.615143e+00
60	2.686096e+00	2.686096e+00	2.686096e+00	2.686096e+00	2.686096e+00	2.686096e+00	2.686096e+00	2.686066e+00	2.685730e+00	2.682434e+00	2.654633e+00
65	2.720612e+00	2.720612e+00	2.720612e+00	2.720612e+00	2.720612e+00	2.720612e+00	2.720612e+00	2.720581e+00	2.720261e+00	2.717102e+00	2.690338e+00
70	2.751999e+00	2.751999e+00	2.751999e+00	2.751999e+00	2.751999e+00	2.751999e+00	2.751999e+00	2.751968e+00	2.751648e+00	2.748611e+00	2.722824e+00
75	2.780701e+00	2.780701e+00	2.780701e+00	2.780701e+00	2.780701e+00	2.780701e+00	2.780701e+00	2.780670e+00	2.780365e+00	2.777451e+00	2.752548e+00
80	2.807068e+00	2.807068e+00	2.807068e+00	2.807068e+00	2.807068e+00	2.807068e+00	2.807068e+00	2.807037e+00	2.806747e+00	2.803925e+00	2.779861e+00
85	2.831360e+00	2.831360e+00	2.831360e+00	2.831360e+00	2.831360e+00	2.831360e+00	2.831345e+00	2.831329e+00	2.831039e+00	2.828323e+00	2.805023e+00
90	2.853806e+00	2.853806e+00	2.853806e+00	2.853806e+00	2.853806e+00	2.853806e+00	2.853806e+00	2.853775e+00	2.853500e+00	2.850861e+00	2.828308e+00
95	2.874649e+00	2.874649e+00	2.874649e+00	2.874649e+00	2.874649e+00	2.874649e+00	2.874649e+00	2.874619e+00	2.874359e+00	2.871811e+00	2.849930e+00
100	2.894043e+00	2.894043e+00	2.894043e+00	2.894043e+00	2.894043e+00	2.894043e+00	2.894043e+00	2.894012e+00	2.893768e+00	2.891296e+00	2.870056e+00
200	2.994043e+00
